Code,Country,Site.ID,PrName,PrName.Base,Diversity,Product.Simple,Out.SubInd,Units,MeanT,MeanC
NM0012,Mexico,"CIMMYT, El Batán Experimental Station",Mulch,Inorganic Fertilizer,Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat,Maize,Crop Yield,kg/ha,5386.66666666667,4143.33333333333
NM0012,Mexico,"CIMMYT, El Batán Experimental Station",Mulch,Inorganic Fertilizer,NA,Maize,Crop Yield,kg/ha,4863.33333333333,3996.66666666667
NM0012,Mexico,"CIMMYT, El Batán Experimental Station",Mulch,Crop Rotation-Inorganic Fertilizer,Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat/Maize/Wheat,Maize,Crop Yield,kg/ha,5386.66666666667,4766.66666666667
DM0023,Mexico,"CIMMYT, El Batán Experimental Station",Mulch,Improved Varieties-Inorganic Fertilizer,Maize/Wheat/Maize/Wheat/Maize,Maize,Crop Yield,kg/ha,4734.75,3912.5
JO0098,Mexico,Escuela Superior de Apan,Mulch,pH Control,NA,Maize,Crop Yield,kg/ha,4825,1020
JO0098,Mexico,Escuela Superior de Apan,Mulch,Inorganic Fertilizer-pH Control,NA,Maize,Crop Yield,kg/ha,6190,4115
JO0098,Mexico,Escuela Superior de Apan,Mulch,Biochar-Organic Fertilizer-pH Control,NA,Maize,Crop Yield,kg/ha,6190,3250
CJ0056,Mexico,"La Tinaja, state of Jalisco. Exp C",Mulch,"",NA,Maize,Crop Yield,kg/ha,3282,1578
CJ0051,Mexico,"Ex-Hacienda El Copal, Universidad de Guanajuato in Irapuato, Guanajuato",Mulch,Crop Rotation-Improved Varieties-Inorganic Fertilizer,Barley/Maize/Barley/Maize/Barley/Maize/Barley/Maize,Maize,Crop Yield,kg/ha,13788.8888888889,13000
AC0027,Mexico,"Universidad Autonoma Agraria Antonio Narro, Saltillo",Mulch,"",NA,Maize,Crop Yield,kg/ha,7139.47859741114,6127.67213151966
NM0015,Brazil,"Luís Eduardo Magalhães, Bahia State",Crop Rotation,Inorganic Fertilizer-pH Control-Silvopasture,Soybean/Crotalaria ochroleuca/Maize-Ruzigrass/Cotton/Fallow/Soybean/Crotalaria ochroleuca/Maize-Ruzigrass,Maize,Crop Yield,kg/ha,7327,7244
NM0047,Brazil,Estiva,Crop Rotation,pH Control,Velvet Bean/Maize,Maize,Crop Yield,kg/ha,12840,8525
NM0022,Brazil,"São Paulo State University (Unesp), School of Agricultural and Veterinarian Sciences, Jaboticabal, São Paulo",Crop Rotation,Improved Varieties-Inorganic Fertilizer-Reduced Tillage,Congo Grass-Maize/Common Bean/Congo Grass-Maize/Common Bean,Maize,Crop Yield,kg/ha,9.9,11.3
JO0214,Brazil,Botucatu,Crop Rotation,Improved Varieties-Inorganic Fertilizer,Brachiaria brizantha/Maize,Maize,Crop Yield,kg/ha,9487.27588201272,7594.27414690572
CJ0080,Brazil,Embrapa Soybean Experimental Station,Crop Rotation,Inorganic Fertilizer,Soybean/Wheat/Soybean/Lupin/Maize/Black oats/Maize/Wheat/Maize/Black oats/Maize/Wheat/Maize/Black oats/Maize/Wheat/Maize/Fallow/Maize/Wheat/Maize/Black oats/Maize,Maize,Crop Yield,kg/ha,5508.88888888889,6271.11111111111
CJ0080,Brazil,Embrapa Soybean Experimental Station,Crop Rotation,Crop Residue Incorporation-Inorganic Fertilizer,Soybean/Wheat/Soybean/Lupin/Maize/Black oats/Maize/Wheat/Maize/Black oats/Maize/Wheat/Maize/Black oats/Maize/Wheat/Maize/Fallow/Maize/Wheat/Maize/Black oats/Maize,Maize,Crop Yield,kg/ha,6330,6410
NM0041,Brazil,"West-Central State University, Guarapuava",Crop Rotation,Improved Varieties-Inorganic Fertilizer-Reduced Tillage,Maize/Barley/Common Bean/Wheat,Common Bean,Crop Yield,kg/ha,2115,2080
NN0437,Brazil,Federal University of Santa Maria Frederico Westphalen,Crop Rotation,Improved Varieties-Inorganic Fertilizer,Common Bean-Peltophorum dubium/Peltophorum dubium-Soybean,Common Bean,Crop Yield,kg/ha,853.755,2229.249
NN0437,Brazil,Federal University of Santa Maria Frederico Westphalen,Crop Rotation,Improved Varieties-Inorganic Fertilizer,Common Bean-Eucalyptus urograndis/Eucalyptus urograndis-Soybean,Common Bean,Crop Yield,kg/ha,966.403,2229.249
